iter	Passed	Remaining
0	1	114
1	2	103
2	3	99
3	4	96
4	4	94
5	5	92
6	6	92
7	7	90
8	8	89
9	9	88
10	10	87
11	11	85
12	12	84
13	13	83
14	14	82
15	15	81
16	16	80
17	17	79
18	18	78
19	19	77
20	20	76
21	21	75
22	22	74
23	23	73
24	24	72
25	24	71
26	25	70
27	26	69
28	27	68
29	28	67
30	29	66
31	30	65
32	31	64
33	32	63
34	33	62
35	34	61
36	35	60
37	36	59
38	37	58
39	38	57
40	39	56
41	40	55
42	41	54
43	41	53
44	42	52
45	43	51
46	44	50
47	45	49
48	46	48
49	47	47
50	48	46
51	49	45
52	50	44
53	51	43
54	52	43
55	53	42
56	54	41
57	55	40
58	56	39
59	57	38
60	58	37
61	59	36
62	60	35
63	61	34
64	62	33
65	63	32
66	64	31
67	65	30
68	65	29
69	66	28
70	67	27
71	68	26
72	69	25
73	71	24
74	71	23
75	73	23
76	73	22
77	74	21
78	75	20
79	76	19
80	77	18
81	78	17
82	79	16
83	80	15
84	81	14
85	82	13
86	83	12
87	84	11
88	85	10
89	86	9
90	86	8
91	87	7
92	88	6
93	89	5
94	90	4
95	91	3
96	92	2
97	93	1
98	94	0
99	95	0
